"soil_moist";"Clay";"WHC";"Magnesium";"Calcium";"bulk_density";"MWD";"C_tot_mg";"N_tot_mg";"P_tot_mg";"pH";"bact16S";"fungITS";"Lat";"Long";"temp";"precip";"bact_sobs";"bact_shan";"bact_pielou";"cerco_sobs";"cerco_shan";"cerco_pielou";"fung_sobs";"fung_shan";"fung_pielou";"beta_b.bray";"beta_f.bray";"beta_c.bray";"mgt_disp"
"070FRAcr";0.16744186;19.8;0.492599726;0.62;0.67;1.400498491;2.921940974;13500;1360;580.1;5.9;929830.1094;145620.8531;48.327091;2.380599;10.9;645;1255;6.28926751388479;0.881480550260204;416;5.1226774626427;0.84943538612406;97;3.24848476340037;0.710096174089475;0.497338516237814;0.514533726915037;0.356593036768872;1.904445943
"073SWIcr";0.301337154;25.6;0.819446743;5.15;19.6;1.157356048;3.113516587;32100;3190;1050.02;7.54;1466103.313;42224.89118;47.27856667;8.637666667;9.1;1128;1520;6.64303242249536;0.906717204806927;403;4.82588480171272;0.804456715265997;113;2.89141277502293;0.611630119191385;0.373446535243676;0.521453686194149;0.360346846619975;2.174879672
"075SWIor";0.20831881;21.1;0.684828877;1.83;11.9;0.894944709;2.889852341;20900;2190;858.32;6.54;1341996.313;75901.35942;47.52235;9.082366667;8.7;1064;1732;6.79786128310244;0.911604134440903;445;5.16618779590239;0.847183480695022;114;3.08461784419198;0.651285599157615;0.334485479877563;0.480996374743555;0.292785577938368;3.159609883
"076SWIcr";0.338231435;36.7;0.794807374;4.22;23.3;0.915180712;2.763470135;33500;3310;1427.18;7.25;1373898.375;46444.97659;47.32073333;8.63385;8;1200;1600;6.66969092102651;0.904026683982353;415;4.96860703434958;0.82421656824168;103;3.24816431120736;0.700831552277685;0.341797193819085;0.501942640507879;0.318008107369497;1.184487484
"078SWIor";0.193648087;21.3;0.649249315;2.64;12.2;1.08927155;3.301147947;24200;2550;763.79;6.56;1592014.625;56538.13366;47.52306667;9.0824;8.7;1064;1784;6.85740531795777;0.915955590483371;441;5.20083538593754;0.854129915663642;147;3.6169072317096;0.724768277862716;0.311642865766975;0.47022308742839;0.321605787568272;3.21900725
"079SWIcr";0.183800623;25.8;0.651332796;1.3;16.8;0.977523294;1.750358903;30100;2370;1000.32;7.75;1774386.5;94988.4511;47.4419;8.4938;9;1092;1551;6.62354027885368;0.901572230047313;444;5.02262542384565;0.823945205838016;120;3.21766901280704;0.672099125321359;0.353310074101199;0.49283988376222;0.325687022761105;1.605394088
"081SWIor";0.269303998;29.7;0.844603896;4.24;20.8;0.914687671;3.653620732;35500;3580;675.11;7.18;1465545.5;59154.54283;47.32463333;8.639233333;8;1200;1656;6.69739062048431;0.903567963702692;421;4.92101746181137;0.814383001128418;98;2.8452378288277;0.620557908439666;0.30551925182022;0.498618998569865;0.327963802960679;NA
"082SWIcr";0.234260067;28.3;0.753041267;3.9;19.6;1.038383437;2.344913315;30600;3090;1713.92;7.05;1724183.938;72301.03365;47.45756667;8.460366667;9;1092;1616;6.70136522794776;0.907096504623853;427;4.91578196421768;0.811615859750178;113;2.98616279473996;0.631672904626078;0.304182985938977;0.422331893360892;0.314106681809765;5.077354406
"084SWIor";0.351948052;45.2;0.991698563;4.51;35.3;0.955364682;3.79843237;51100;4790;1154.24;6.96;1635474.813;49854.82797;47.30628333;8.729283333;9.2;1102;1658;6.7220267486952;0.906744053586654;345;4.85734972989061;0.831233474624335;151;3.88821111671186;0.774963973143698;0.313737108533499;0.500135116516881;0.38658154294735;3.365252756
"085SWIcr";0.213592233;16.1;0.724963725;3.08;13.8;1.007205183;2.6104868;27700;2840;897.66;7.1;1568309.75;62768.57882;47.52735;9.051166667;8.7;1064;1704;6.75361735503748;0.907654758337956;440;5.14611627287562;0.845458638402105;140;3.77258230752604;0.763426809326692;0.329697219749957;0.51822678201907;0.331505198650193;1.378683869
"087SWIor";0.152671756;31.4;0.639592528;3.07;15;1.092624035;2.80497015;23800;2410;1033.33;6.78;1717066.625;85038.13677;47.47786667;8.660983333;8.4;1119;1712;6.73070381234438;0.904006224108413;462;5.1598956939452;0.840981357958628;166;3.97888712637718;0.778344411432241;0.30972400261269;0.415905426639019;0.307673075787513;5.000462673
"088SWIcr";0.219798264;25.9;0.642225683;1.12;9;0.951069636;1.931337905;17600;1920;967.85;6.24;1420605.938;109101.7546;47.5452;9.0667;9.3;1002;1673;6.72613727900696;0.90619760604518;479;5.04318376847329;0.817146536659433;114;3.4636798633491;0.731320678617942;0.362653835979407;0.464893087098187;0.299027963738228;4.191236951
