"","phylum","class","order","family","genus","species","nutrition","morphology"
"OTUc_1277","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12770","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12771","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_12772","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12773","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12774","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12775","Cercozoa","Imbricatea","Thaumatomonadida","Peregriniidae","Peregrinia","Peregrinia_clavideferens","bacterivore","testate_cell_silica"
"OTUc_12777","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_12778","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12779","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","Neoheteromita","unclassified","bacterivore","naked_flagellate"
"OTUc_1278","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_sp.","bacterivore","naked_amoeboflagellate"
"OTUc_12780","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
