OTU;kingdom;phylum;class;order;family;genus;species
OTU_42775;Bacteria;Chloroflexi;Chloroflexi;AKIW781;unclassified;unclassified;unclassified
OTU_427794;Bacteria;Chloroflexi;Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;unclassified;unclassified
OTU_427816;Bacteria;Proteobacteria;Deltaproteobacteria;MIZ46;unclassified;unclassified;unclassified
OTU_427843;Bacteria;Proteobacteria;Betaproteobacteria;MND1;unclassified;unclassified;unclassified
OTU_427856;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_427857;Bacteria;Cyanobacteria;4C0d-2;MLE1-12;unclassified;unclassified;unclassified
OTU_427889;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_427897;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];auto67_4W;unclassified;unclassified
OTU_427908;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_427937;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;ACK-M1;unclassified;unclassified
OTU_427954;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unclassified
OTU_427961;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_427965;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Koribacteraceae;unclassified;unclassified
OTU_427994;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Koribacteraceae;unclassified;unclassified
OTU_428;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_42800;Bacteria;Firmicutes;Clostridia;unclassified;unclassified;unclassified;unclassified
OTU_42805;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_428091;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_428116;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_428122;Bacteria;Chlorobi;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_428125;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;unclassified;unclassified
OTU_42813;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified;unclassified
OTU_428198;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_428220;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;unclassified;unclassified;unclassified
OTU_428281;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_428293;Bacteria;Chloroflexi;Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;unclassified;unclassified
OTU_42831;Bacteria;Acidobacteria;iii1-8;DS-18;unclassified;unclassified;unclassified
OTU_428313;Bacteria;Acidobacteria;iii1-8;DS-18;unclassified;unclassified;unclassified
OTU_428336;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;unclassified
OTU_428419;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_428420;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];auto67_4W;unclassified;unclassified
OTU_428486;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_428496;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_4285;Bacteria;Proteobacteria;Betaproteobacteria;unclassified;unclassified;unclassified;unclassified
OTU_428507;Bacteria;Chlorobi;BSV26;C20;unclassified;unclassified;unclassified
OTU_42851;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;unclassified;unclassified;unclassified
OTU_428584;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;unclassified;unclassified
OTU_42861;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_428690;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Koribacteraceae;unclassified;unclassified
OTU_42871;Bacteria;Chlorobi;SJA-28;unclassified;unclassified;unclassified;unclassified
OTU_428726;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;biprosthecium
OTU_428730;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_428736;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;unclassified
OTU_428745;Bacteria;Cyanobacteria;4C0d-2;MLE1-12;unclassified;unclassified;unclassified
OTU_428747;Bacteria;AD3;JG37-AG-4;unclassified;unclassified;unclassified;unclassified
OTU_428802;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;unclassified;unclassified
OTU_428841;Bacteria;Proteobacteria;Alphaproteobacteria;Ellin329;unclassified;unclassified;unclassified
OTU_428850;Bacteria;AD3;ABS-6;unclassified;unclassified;unclassified;unclassified
OTU_428855;Bacteria;Chloroflexi;Anaerolineae;SHA-20;unclassified;unclassified;unclassified
OTU_428863;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_428889;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_42892;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;unclassified
OTU_42895;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];Ellin515;unclassified;unclassified
OTU_42897;Bacteria;Chlorobi;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_428994;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;unclassified
OTU_429;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;unclassified
OTU_4290;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;unclassified
OTU_429012;Bacteria;OD1;Mb-NB09;unclassified;unclassified;unclassified;unclassified
OTU_429035;Bacteria;OD1;Mb-NB09;unclassified;unclassified;unclassified;unclassified
OTU_429037;Bacteria;Proteobacteria;Betaproteobacteria;A21b;EB1003;unclassified;unclassified
OTU_429077;Bacteria;Verrucomicrobia;[Methylacidiphilae];S-BQ2-57;unclassified;unclassified;unclassified
OTU_429095;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;unclassified;unclassified
OTU_429173;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
